Отметка времени,Проводили ли вы сделки на своём брокерском счёте в последнее время?,Ваш телеграмм (в формате @username),Почему вы в настоящее время не инвестируете на бирже?,Каким образом вы в основном распоряжаетесь свободными деньгами?,Что могло бы побудить вас начать инвестировать?,Сколько вам лет?,Ваш опыт в инвестициях:,Как часто вы торгуете?,Какими финансовыми инструментами вы чаще пользуетесь или пользовались?,К какому типу инвесторов по отношению к риску вы себя относите?,Как вы относитесь к инструментам маржинальной торговли?,Услугами какого брокера вы пользуетесь чаще всего?,Как вы выбирали своего основного брокера? ,Что в первую очередь побудило вас начать инвестировать? ,"Как вы оцениваете текущий уровень сервиса вашего брокера именно по срочному рынку (фьючерсы, опционы и др.)?",Какими торговыми интерфейсами вы пользуетесь чаще всего?,Какие источники информации при совершении сделок для вас наиболее авторитетны? ,"Часто ли вы принимаете инвестиционные решения на основе аналитики и советов финфлюенсеров (люди, которые в социальных сетях, блогах дают советы, рекомендации или высказывают мнения на финансовые темы)?","Представьте, что в ленте социальных сетей вам попался короткий ролик от известного инвестиционного блогера, где он объясняет работу опционов. Насколько вероятно, что вы досмотрите его до конца?","Если бы в конце такого ролика была ссылка на полный разбор стратегий торговли опционами (15–20 минут), насколько вероятно, что вы перешли бы по ней?","Как вы относитесь к элементам геймификации в инвестиционных приложениях (обучающие квесты, демо-счета, виртуальные награды за сделки)?",Торгуете ли вы опционами?,Имеете ли вы опыт торговли криптовалютой с целью получения прибыли,"Вы согласны с утверждением: «Одна из причин, по которой я выбрал криптовалюту, - это более низкий барьер входа по сравнению с биржевыми инструментами»?","Знакомы ли вы с такими понятиями как «временной распад стоимости опциона», «опцион в деньгах/вне денег», «страйк», «пут и колл», «греки», «улыбка волатильности»?",При каких условиях вы бы скорее всего начали торговать опционами? ,"Если бы в приложении брокера (или в любом брокерском приложении, которым вы могли бы воспользоваться) появилась «песочница» для торговли опционами — виртуальный счёт с реальными котировками и полным функционалом — насколько вероятно, что вы начали бы с ней работать в ближайшие 6 месяцев?","Если бы после освоения «песочницы» вы почувствовали уверенность в своих действиях, насколько вероятно, что вы перешли бы к реальной торговле опционами?","Готовы ли вы пройти обучение для старта торговли опционами в ближайшее время, если найдёте подходящий каталог курсов от Московской биржи?","Что вы, скорее всего, сделаете после открытия каталога курсов?",Какое было бы ваше следующее действие после прохождения обучающего курса по опционам?,"Какую практическую задачу, по вашему мнению, опционы закрывают лучше всего?",Какие барьеры в постоянной торговле опционами вам видятся наиболее существенными (кроме низкой ликвидности)?,Какие барьеры для самой первой сделки с опционами вам видятся наиболее существенными  (кроме низкой ликвидности)?,Что из перечисленного является для вас основным препятствием для начала или расширения торговли опционами  (кроме низкой ликвидности)  ? ,"Насколько для вас важен интуитивно понятный, простой интерфейс при торговле опционами? ","Если в прошлом вопросе вы выбрали 3 или менее, укажите, что именно в интерфейсе приложения кажется вам неудобным или непонятным при работе с опционами?","Какую практическую задачу, по вашему мнению, опционы закрывают лучше всего? ",Каков ваш наиболее частый горизонт инвестирования при использовании опционов?,"Если вспомнить ваш самый первый опыт торговли, какие барьеры для первой сделки с опционами были наиболее существенными (кроме низкой ликвидности)?",Какой барьер в постоянной торговле опционами вам видится наиболее существенным? ,Оцените удобство интерфейса торгового приложения вашего брокера именно для работы с опционами.,"Если в прошлом вопросе вы выбрали 3 или менее, укажите, что именно в интерфейсе приложения кажется вам неудобным или непонятным при работе с опционами?"
30.05.2026 1:33:28,Да,@amirka1904,,,,16-25,1–5 лет,Торгую в одну из торговых сессий почти каждый день,"Акции, Фьючерсы",Агрессивный (готов на высокий риск ради доходности),Торгую с плечом постоянно,BYBIT,Широкий набор доступных инструментов,"Самостоятельный интерес (книги, аналитика)",Очень высокий,Web-терминал (в браузере),"Официальная информация Биржи, Аналитика от брокера",Редко,10,10,Нейтрально,Нет,Да,Да,Да,"При поддержке персонального финансового помощника, Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента, Если бы брокер сделал торговлю опционами понятнее",10,10,"Да, но только бесплатное",Начну проходить интересующий курс,Попробую поторговать в демо-версии,Получать большую доходность сравнительно с базовыми активами,"Недостаток аналитики по опционам, Отсутствие понятного обучения","Сложность инструмента, Отсутствие понятного обучения",Сложность инструмента,10,,,,,,,
30.05.2026 7:49:36,Нет,dr1pkll,"Не вижу смысла, доходность не привлекает",Вкладываю в недвижимость,Гарантии сохранности капитала,,,,,,,,,,,,,,,,,,,,Да,При поддержке персонального финансового помощника,6,6,"Да, но только бесплатное",Начну проходить интересующий курс,Отложу торговлю на какое-то время,"Ограничивать рыночный риск, Защищать другую открытую позицию, Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)",Недостаток аналитики по опционам,Недостаток аналитики по опционам,Недостаток аналитики по опционам,7,,,,,,,
30.05.2026 8:15:04,Нет,,"Недостаток знаний и опыта, Нет свободных денег, Не вижу смысла, доходность не привлекает",Накопительный счёт,"Понятное и доступное обучение, Низкий порог входа (небольшая сумма для старта)",,,,,,,,,,,,,,,,,,,,Да,"При наличии понятного интерактивного обучения, Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента, При наличии свободного времени",7,8,Рассмотрел бы и платное,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Получать большую доходность сравнительно с базовыми активами","Сложность инструмента, Недостаток аналитики по опционам","Сложность инструмента, Недостаток аналитики по опционам, Высокий порог входа (размер капитала)",Сложность инструмента,5,,,,,,,
30.05.2026 11:08:09,Да,@Savvapetrpoiz,,,,16-25,1–5 лет,Торгую в одну из торговых сессий почти каждый день,"Акции, Облигации, Фьючерсы, Опционы, Валютные инструменты",Умеренный (сбалансированный риск),"Использую, только когда абсолютно уверен в сделке",БКС,По совету знакомых / родственников,"Совет друзей, родственников или коллег",Хороший,Web-терминал (в браузере),"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Аналитика СРО (НАУФОР, НФА)",Редко,2,1,Нейтрально,Да,,,,,,,,,,,,,,,,"Ограничивать рыночный риск, Защищать другую открытую позицию (хеджирование)",Среднесрочный (несколько недель),Сложность инструмента,Страх перед повышенным риском,4,
30.05.2026 14:39:09,Да,@Zodeack,,,,25-40,1–5 лет,Реже чем раз в неделю,"Акции, Облигации",Консервативный (минимальный риск),Не использовал(-а) никогда,Т-Банк,Широкий набор доступных инструментов,"Самостоятельный интерес (книги, аналитика)",Достаточный,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Аналитика от брокера",Никогда,5,5,Отрицательно,Нет,Нет,,Да,"При поддержке персонального финансового помощника, При наличии понятного интерактивного обучения, Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента, Если бы брокер сделал торговлю опционами понятнее, При наличии свободного времени",5,5,"Да, но только бесплатное",Начну проходить интересующий курс,Попробую поторговать в демо-версии,"Реализовывать специфический сценарий (рост, падение, волатильность)","Недостаток аналитики по опционам, Страх перед повышенным риском","Недостаток аналитики по опционам, Высокий порог входа (размер капитала)",Высокий порог входа (размер капитала),7,,,,,,,
30.05.2026 15:21:43,Да,@artem_shemshuk,,,,16-25,1–5 лет,Несколько раз в неделю,"Акции, Облигации, Фьючерсы, Опционы",Агрессивный (готов на высокий риск ради доходности),Пару раз пробовал(-а),ВТБ,По совету знакомых / родственников,"Самостоятельный интерес (книги, аналитика)",Достаточный,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Аналитика от брокера, Инвестблогеры/ финфлюенсеры, Аналитика СРО (НАУФОР, НФА)",Редко,10,10,Положительно,Да,,,,,,,,,,,,,,,,"Ограничивать рыночный риск, Реализовывать специфический сценарий (рост, падение, изменение волатильности)",Среднесрочный (несколько недель),Отсутствие достаточной информации по опционам,Низкая ликвидность,2,"Если хочешь посмотреть сделки, нужно слишком много кликать, нету понятного набора нужных коэфов когда ты хочешь купить опцион, должен прокликивать каждую дату экспирации, нету упрощения, сделано очень сыро."
30.05.2026 20:10:05,Нет,@markinioss,Недостаток знаний и опыта,Передаю в доверительное управление,Появление простого и удобного мобильного приложения,,,,,,,,,,,,,,,,,,,,Нет,"При поддержке персонального финансового помощника, При наличии понятного интерактивного обучения",10,10,"Да, но только бесплатное",Начну проходить интересующий курс,Начну торговать реальными деньгами,Получать большую доходность сравнительно с базовыми активами,Сложность инструмента,"Сложность инструмента, Отсутствие понятного обучения, Отсутствие достаточной рекламы/ информации",Сложность инструмента,10,,,,,,,
30.05.2026 20:13:44,Да,@whyareyouXP ,,,,16-25,Более 5 лет,Несколько раз в неделю,"Акции, Фьючерсы, Валютные инструменты, Товарные контракты",Агрессивный (готов на высокий риск ради доходности),Торгую с плечом постоянно,Т-Банк,Удобный интерфейс терминала / мобильного приложения,"Самостоятельный интерес (книги, аналитика)",Ниже среднего,Мобильное приложение,"Данные ЦБ и регулирующих органов, Инвестблогеры/ финфлюенсеры",Часто,3,0,Нейтрально,Нет,Нет,,Да,При наличии ликвидности в опционах,4,1,Нет,Закрою каталог,Отложу торговлю на какое-то время,"Ограничивать рыночный риск, Защищать другую открытую позицию, Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)",Высокие комиссии,"Сложность инструмента, Отсутствие достаточной рекламы/ информации",Недостаток аналитики по опционам,7,,,,,,,
30.05.2026 20:14:04,Нет,,"Недостаток знаний и опыта, Нет свободных денег",Накопительный счёт,"Понятное и доступное обучение, Гарантии сохранности капитала, Низкий порог входа (небольшая сумма для старта), Успешные примеры знакомых или блогеров",,,,,,,,,,,,,,,,,,,,Нет,"При наличии понятного интерактивного обучения, Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента",7,6,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,Получать большую доходность сравнительно с базовыми активами,"Сложность инструмента, Отсутствие понятного обучения, Страх перед повышенным риском","Сложность инструмента, Недостаток аналитики по опционам, Отсутствие понятного обучения, Высокий порог входа (размер капитала)",Отсутствие понятного обучения,8,,,,,,,
30.05.2026 20:15:16,Нет,,Недостаток знаний и опыта,Храню наличными,Гарантии сохранности капитала,,,,,,,,,,,,,,,,,,,,Нет,"При поддержке персонального финансового помощника, При наличии понятного интерактивного обучения, При наличии свободного времени",5,7,Нет,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Реализовывать специфический сценарий (рост, падение, волатильность)",Недостаток аналитики по опционам,"Сложность инструмента, Недостаток аналитики по опционам",Сложность инструмента,5,,,,,,,
30.05.2026 20:20:20,Да,@m_antipov1989,,,,16-25,Менее 1 года,Реже чем раз в неделю,Акции,Умеренный (сбалансированный риск),Не использовал(-а) никогда,БКС,По совету знакомых / родственников,"Самостоятельный интерес (книги, аналитика)",Практически отсутствует/ не пользуюсь,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов",Никогда,3,3,Нейтрально,Нет,Нет,,Нет,При наличии свободного времени,4,5,Нет,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)","Недостаток аналитики по опционам, Отсутствие понятного обучения, Страх перед повышенным риском",Высокий порог входа (размер капитала),Высокий порог входа (размер капитала),6,,,,,,,
30.05.2026 20:24:37,Нет,@okbumerz,"Недостаток знаний и опыта, Нет свободных денег",Банковский вклад,Гарантии сохранности капитала,,,,,,,,,,,,,,,,,,,,Да,Если бы брокер сделал торговлю опционами понятнее,8,5,Нет,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Защищать другую открытую позицию, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Отсутствие понятного обучения",Отсутствие достаточной рекламы/ информации,Отсутствие достаточной рекламы/ информации,5,,,,,,,
30.05.2026 20:27:41,Нет,@ula085,"Недостаток знаний и опыта, Страх потерять сбережения",Банковский вклад,Гарантии сохранности капитала,,,,,,,,,,,,,,,,,,,,Нет,"При поддержке близких людей, При наличии свободного времени",6,5,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,"Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Страх перед повышенным риском",Сложность инструмента,Сложность инструмента,6,,,,,,,
30.05.2026 20:28:19,Да,@lotossoks,,,,16-25,Менее 1 года,Реже чем раз в неделю,"Акции, Облигации, Фьючерсы, Опционы",Консервативный (минимальный риск),Не использовал(-а) никогда,Т-Банк,Известность и надёжность бренда,"Совет друзей, родственников или коллег",Достаточный,Мобильное приложение,"Данные ЦБ и регулирующих органов, Обучающие курсы (платные / бесплатные), Инвестблогеры/ финфлюенсеры",Всегда,6,5,Положительно,Да,,,,,,,,,,,,,,,,"Реализовывать специфический сценарий (рост, падение, изменение волатильности)",Краткосрочный (несколько дней),Сложность инструмента,Отсутствие понятного обучения,4,
30.05.2026 20:56:32,Да,,,,,16-25,1–5 лет,Реже чем раз в неделю,Облигации,Умеренный (сбалансированный риск),"Использую, только когда абсолютно уверен в сделке",Альфа-Банк,По совету знакомых / родственников,"Самостоятельный интерес (книги, аналитика)",Практически отсутствует/ не пользуюсь,Мобильное приложение,Инвестблогеры/ финфлюенсеры,Редко,8,8,Отрицательно,Нет,Нет,,Да,"Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента, При наличии свободного времени",3,5,Рассмотрел бы и платное,Посмотрю описание курсов,Начну торговать реальными деньгами,"Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Недостаток аналитики по опционам, Высокие комиссии",Сложность инструмента,Недостаток аналитики по опционам,2,"Это абсолютно другой вопрос, советую переформулировать",,,,,,
30.05.2026 21:21:12,Да,@mrckfododl,,,,16-25,1–5 лет,Торгую в одну из торговых сессий почти каждый день,"Акции, Валютные инструменты",Агрессивный (готов на высокий риск ради доходности),Торгую с плечом постоянно,Т-Банк,Широкий набор доступных инструментов,"Самостоятельный интерес (книги, аналитика)",Достаточный,Мобильное приложение,Официальная информация Биржи,Никогда,7,3,Отрицательно,Нет,Да,Нет,Да,"Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента, При наличии свободного времени",7,8,Нет,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Защищать другую открытую позицию, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Высокие комиссии","Сложность инструмента, Отсутствие понятного обучения, Высокий порог входа (размер капитала)",Сложность инструмента,9,,,,,,,
30.05.2026 21:26:12,Нет,,Нет свободных денег,Накопительный счёт,Понятное и доступное обучение,,,,,,,,,,,,,,,,,,,,Нет,"При наличии понятного интерактивного обучения, Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента",2,6,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,Ограничивать рыночный риск,Отсутствие понятного обучения,Отсутствие понятного обучения,Отсутствие понятного обучения,4,,,,,,,
30.05.2026 21:43:12,Нет,@LLMmoment,Недостаток знаний и опыта,Накопительный счёт,Гарантии сохранности капитала,,,,,,,,,,,,,,,,,,,,Да,Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента,8,9,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,"Реализовывать специфический сценарий (рост, падение, волатильность)",Недостаток аналитики по опционам,Недостаток аналитики по опционам,Недостаток аналитики по опционам,4,,,,,,,
30.05.2026 22:27:04,Да,,,,,16-25,1–5 лет,Несколько раз в неделю,"Акции, Облигации",Умеренный (сбалансированный риск),"Использую, только когда абсолютно уверен в сделке",Т-Банк,Широкий набор доступных инструментов,"Самостоятельный интерес (книги, аналитика)",Достаточный,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Инвестблогеры/ финфлюенсеры",Редко,9,8,Положительно,Нет,Нет,,Да,При поддержке персонального финансового помощника,8,8,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,"Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Страх перед повышенным риском","Сложность инструмента, Отсутствие достаточной рекламы/ информации",Сложность инструмента,7,,,,,,,
30.05.2026 22:38:24,Да,,,,,16-25,1–5 лет,Реже чем раз в неделю,"Акции, Фьючерсы",Консервативный (минимальный риск),Пару раз пробовал(-а),БКС,Самые низкие комиссии,"Самостоятельный интерес (книги, аналитика)",Достаточный,Терминал QUIK,Данные ЦБ и регулирующих органов,Никогда,4,6,Нейтрально,Нет,Нет,,Да,При поддержке персонального финансового помощника,6,7,Рассмотрел бы и платное,Начну проходить интересующий курс,Не буду торговать опционами,"Реализовывать специфический сценарий (рост, падение, волатильность)",Недостаток аналитики по опционам,Недостаток аналитики по опционам,Высокий порог входа (размер капитала),5,,,,,,,
31.05.2026 1:51:54,Нет,@iiibrahimmm,"Недостаток знаний и опыта, Страх потерять сбережения",Храню наличными,"Понятное и доступное обучение, Гарантии сохранности капитала",,,,,,,,,,,,,,,,,,,,Да,"При поддержке персонального финансового помощника, Если бы очень хорошо разбирался в опционных стратегиях",6,6,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Получать большую доходность сравнительно с базовыми активами",Сложность инструмента,Сложность инструмента,Недостаток аналитики по опционам,4,,,,,,,
31.05.2026 12:30:51,Да,@desuguri,,,,16-25,1–5 лет,Реже чем раз в неделю,"Акции, Облигации",Умеренный (сбалансированный риск),Пару раз пробовал(-а),ВТБ,По совету знакомых / родственников,"Совет друзей, родственников или коллег",Практически отсутствует/ не пользуюсь,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов",Никогда,6,3,Нейтрально,Нет,Нет,,Да,При наличии свободного времени,3,7,"Да, но только бесплатное",Посмотрю описание курсов,Начну торговать реальными деньгами,Получать большую доходность сравнительно с базовыми активами,Сложность инструмента,"Сложность инструмента, Отсутствие достаточной рекламы/ информации",Сложность инструмента,5,,,,,,,
31.05.2026 12:33:59,Да,@newslonik,,,,16-25,1–5 лет,Реже чем раз в неделю,"Акции, Облигации",Умеренный (сбалансированный риск),Пару раз пробовал(-а),Альфа-Банк,Известность и надёжность бренда,"Самостоятельный интерес (книги, аналитика)",Хороший,Web-терминал (в браузере),"Официальная информация Биржи, Данные ЦБ и регулирующих органов",Редко,6,6,Нейтрально,Нет,Нет,,Нет,При наличии свободного времени,3,7,Рассмотрел бы и платное,Начну проходить интересующий курс,Попробую поторговать в демо-версии,Ограничивать рыночный риск,Сложность инструмента,Сложность инструмента,Высокий порог входа (размер капитала),8,,,,,,,
31.05.2026 13:22:53,Да,@vputvputvput,,,,16-25,1–5 лет,Несколько раз в неделю,"Акции, Фьючерсы, Опционы, Валютные инструменты",Агрессивный (готов на высокий риск ради доходности),Торгую с плечом постоянно,Т-Банк,Удобный интерфейс терминала / мобильного приложения,"Совет друзей, родственников или коллег",Очень высокий,Web-терминал (в браузере),Официальная информация Биржи,Редко,1,0,Положительно,Да,,,,,,,,,,,,,,,,"Реализовывать специфический сценарий (рост, падение, изменение волатильности)",Среднесрочный (несколько недель),Отсутствие достаточной информации по опционам,Низкая ликвидность,4,
31.05.2026 21:04:31,Нет,@dellobos,"Недостаток знаний и опыта, Нет свободных денег",Накопительный счёт,"Понятное и доступное обучение, Гарантии сохранности капитала",,,,,,,,,,,,,,,,,,,,Нет,"При поддержке персонального финансового помощника, При наличии понятного интерактивного обучения",9,8,Рассмотрел бы и платное,Начну проходить интересующий курс,Попробую поторговать в демо-версии,"Защищать другую открытую позицию, Получать большую доходность сравнительно с базовыми активами","Недостаток аналитики по опционам, Отсутствие понятного обучения","Отсутствие понятного обучения, Отсутствие достаточной рекламы/ информации",Недостаток аналитики по опционам,10,,,,,,,
01.06.2026 13:35:31,Да,,,,,16-25,Менее 1 года,Реже чем раз в неделю,Акции,Умеренный (сбалансированный риск),Не использовал(-а) никогда,Финам,Удобный интерфейс терминала / мобильного приложения,Обучающие курсы / статьи / видео,Хороший,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Инвестблогеры/ финфлюенсеры",Часто,5,6,Положительно,Нет,Нет,,Да,"Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента, Если бы брокер сделал торговлю опционами понятнее",7,8,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,Получать большую доходность сравнительно с базовыми активами,"Сложность инструмента, Отсутствие понятного обучения, Страх перед повышенным риском",Высокий порог входа (размер капитала),Отсутствие понятного обучения,7,,,,,,,
01.06.2026 13:46:23,Нет,,"Недостаток знаний и опыта, Нет свободных денег",Накопительный счёт,"Понятное и доступное обучение, Низкий порог входа (небольшая сумма для старта), Появление простого и удобного мобильного приложения",,,,,,,,,,,,,,,,,,,,Да,"При наличии понятного интерактивного обучения, Если бы брокер сделал торговлю опционами понятнее, При наличии свободного времени",8,8,"Да, но только бесплатное",Начну проходить интересующий курс,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Защищать другую открытую позицию, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Недостаток аналитики по опционам, Отсутствие понятного обучения","Сложность инструмента, Отсутствие достаточной рекламы/ информации",Сложность инструмента,7,,,,,,,
